clv_ent_fed,ent_fed,abr_ent_fed,pan,pri,prd,nulos,abst,anlf,prm,drnj,ee,ag,hac,pt,hbt,smin
1,AGUASCALIENTES,AGU,0.304831457365553,0.373032621168029,0.164180788839548,0.0279634065621406,0.398848888519933, 4.646364,21.476364, 2.736364, 1.363636, 1.363636,41.35455, 2.278182,64.14182,45.00455
2,BAJA CALIFORNIA,BCN,0.269260380464073,0.359860047823151,0.263665185069002,0.0180349043013918,0.464076112670262, 2.906000,14.432000, 0.568000, 1.514000, 7.514000,29.39400, 3.358000,17.95800,24.38800
3,BAJA CALIFORNIA SUR,BCS,0.301738483657551,0.406140020216242,0.202628156353604,0.0201330048216437,0.416028285516018, 3.974000,17.304000, 1.548000, 4.062000, 6.670000,32.84400, 5.796000,20.50800,27.04200
4,CAMPECHE,CAM,0.283614762018673,0.386772159049106,0.217374897971362,0.026860483209342,0.323981001070566,11.819091,28.325455,11.740000, 4.138182,12.660000,52.98091, 5.985455,51.22636,61.25364
5,COAHUILA,COA,0.359488172393006,0.394848352580518,0.161698134565435,0.0190762390489135,0.378277419072098, 4.158947,18.687632, 2.280789, 1.293158, 3.655789,33.52316, 1.430526,50.04684,40.99684
6,COLIMA,COL,0.331038919076708,0.402915213072098,0.17811149904174,0.0208830076782592,0.358924021817298, 6.733000,23.446000, 1.353000, 1.030000, 1.533000,33.80800, 5.256000,37.90200,39.51400
7,CHIAPAS,CHP,0.162791931113226,0.297738230369846,0.263627628432063,0.0455330343835998,0.32719024968256,21.933475,44.075763, 5.617797, 4.196017,23.428983,60.79042,16.028644,77.98017,80.47398
8,CHIHUAHUA,CHH,0.235827343382682,0.460927124562421,0.187027724067924,0.0266992387243065,0.466852443504266, 8.575224,31.992090, 8.356567,10.704030,11.720299,30.09134, 5.764030,75.10388,50.77910
9,DISTRITO FEDERAL,DIF,0.172221681356957,0.251594355997222,0.471055752022469,0.018714015559286,0.330117054810034, 2.090000, 8.548125, 0.113750, 0.100000, 2.365000,26.32000, 1.219375, 1.82750,28.41937
10,DURANGO,DUR,0.274326742012678,0.487293872992466,0.128026469024894,0.0197019268889116,0.406100571628087, 6.254359,29.712308,12.005128, 8.930513,11.646923,36.39846, 9.622564,77.56103,61.03923
11,GUANAJUATO,GUA,0.407612147965713,0.380217732476353,0.109392649561658,0.0311707153850169,0.403813289870539,11.597609,30.899130,11.394783, 2.708696, 6.362609,40.06935, 4.731087,58.49152,53.54870
12,GUERRERO,GRO,0.106398029669203,0.355456156844465,0.400647062994859,0.0325490107682956,0.392819554247673,24.053951,42.058519,27.807160, 6.806914,36.275062,56.07235,22.291605,76.35173,70.10037
