"year","month","country","region","latitude","longitude","multiple","success","attack","target","weapon","num_kill","damages","kidnap","inter","death","bombs","bnm"
1970,"Jan","United States","North America",43.07295,-89.386694,"no","yes","Facility/Infrastructure Attack","Military","Incendiary",0,"Minor","no","no","no","no","no"
1970,"Jan","United States","North America",43.07295,-89.386694,"no","yes","Facility/Infrastructure Attack","Government (General)","Incendiary",0,"Minor","no","no","no","no","no"
1970,"Jan","United States","North America",43.4685,-89.744299,"no","no","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jan","Puerto Rico","Central America",18.39677,-66.046608,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Major","no","no","no","no","no"
1970,"Feb","United States","North America",40.713985,-73.829959,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Feb","United States","North America",40.65,-73.95,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Feb","West Germany (FRG)","Western Europe",48.139126,11.580186,"no","yes","Armed Assault","Airports & Aircraft","Firearms",1,"Minor","no","yes","yes","no","no"
1970,"Feb","West Germany (FRG)","Western Europe",48.139126,11.580186,"no","yes","Facility/Infrastructure Attack","Private Citizens & Property","Incendiary",7,"Minor","no","yes","yes","no","no"
1970,"Feb","West Germany (FRG)","Western Europe",50.111445,8.680615,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Feb","Switzerland","Western Europe",47.36865,8.539182,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",47,"Major","no","yes","yes","yes","no"
1970,"Mar","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Mar","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Mar","United States","North America",40.71455,-74.007124,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Major","no","no","no","yes","yes"
1970,"Mar","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Mar","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Educational Institution","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Mar","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Mar","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Mar","United States","North America",40.8501,-73.866246,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Mar","United States","North America",40.71455,-74.007124,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Apr","United States","North America",34.05349,-118.245319,"no","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1970,"Apr","United States","North America",37.869885,-122.270539,"no","yes","Bombing/Explosion","Utilities","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Apr","United States","North America",34.05349,-118.245319,"no","yes","Facility/Infrastructure Attack","Private Citizens & Property","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Apr","United States","North America",34.05349,-118.245319,"yes","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1970,"Apr","United States","North America",34.05349,-118.245319,"yes","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
